date;name;country_name;coordinates;description
1515;Battle of Marignan;Milan;45.3701311,9.320490555555555;The Swiss are crushed by France's new king, Francis I (original name). Since then, they stay in their mountains. With their gold. Good for them.
1525;Battle of Pavia;Milan;45.6867977,8.703824;Francis I is captured by the Spaniards. 
1206;Temudjin is proclaimed Genghis Khan;Mongol Empire;49.05253694858384,113.11340735625;Means Universal Ruler. A little bit megalomaniac, especially for the leader of such a small trib… oh wait.
1520;Noche Triste :'(;Aztec Empire;19.4326296,-99.1331785;Hernan Cortes, criminal, flees Tenochtitlan.
1214;Battle of Bouvines;France;50.6,3.225;Philip August defeats both German and English forces.
-329;Death of Alexander the Great;Persia;32.5419444,44.419999999999995;Weird that such an hated guy dies at such a convenient time… But we swear, it's probably the flu (or COVID-329…)
-753;Mythical foundation of Rome;Rome;41.8933203,12.4829321;Rome wasn't made in a day, and probably not that one either.
312;At the Milvian Bridge, Constantin I becomes Christian;Roman Empire;41.9355556,12.466944444444444;After supposed revelation and real battle, Constantin converts to brand-new religion. 
793;Lindisfarne ravaged by hairy guys;Northumbria;55.68,-1.8025;"The Vikings enter history as ""Northmen"". They pillage everything. How rude."
800;Charlemagne proclaimed emperor, but there's already one;Francia;41.9021569,12.4537121;In a political calculation, the Pope crowns the Frankish king as Emperor, even though there's already an Emperor in Constantinople. Well, it's a woman, so that's probably why.
987;Hugh Capet elected King of the Franks;Francia;50.5331612,2.1523287;Carolingians out. New dynasty, the Capet, acquires the Throne.
1152;Eleanor of Aquitaine, the King of France's ex, marries the King of England;Aquitaine;46.5802596,0.340196;8 weeks after breaking up with the French King, Eleanor wooes the new big guy in the French kingdom: the King of England. 
1780;Tupac Amaru II revolts against Spaniards;Peru;-14.163872,-71.4760515;"Two centuries after the fall of the Incan Empire, a guy says ""Hey wait, that's not cool"". The revolt will be crushed by the Spaniards and he will be burnt."
-1200;The Epic of Gilgamesh is written;Babylon;36.0367935,42.3168623;The standard version of this Epic is supposedly written at that time. In short, some king tries to discover a vaccine against death. Spoiler alert: he will not find it, but in the end, the real treasure was the friends he made along the way.
-1750;Code of Hammurabi issued;Babylon;32.5419444,44.419999999999995;"""Eye for an eye, tooth for a tooth"". First evidence of a judiciary text."
-3000;Foundation of Ur;Ur;30.9611111,46.105555555555554;At that time appears, and grows, a city which will shine on all of Sumer: Ur.
1274;Marco Polo arrives at the Khan's court;Mongol Empire;39.906217,116.3912757;The young Venitian merchant is blown away by the mongol ruler, who, thanks to him, will became mythical in Europe and serve as a guide for the Great Discoveries.
-44;Jules Caesar meets 23 knives;Roman Republic;41.8933203,12.4829321;Despite a number of prophecies, the Roman dictator is confident nothing will happen. He is betrayed by everyone and murdered by fearful senators.
532;Nika riots in Constantinople;Roman Empire;41.0096334,28.9651646;Emperor Justinian almost loses his throne because of some riot incited by chariot racing hooligans, but, thanks to his wife, he clutches on it and maintains his grip.
1969;American guys walk on Moon;United States;28.5852778,-80.65083333333334;Mission Appollo XIII leaves Earth for the Moon. Or shoots a movie in Hollywood. We don't know. Actually, we do.
1894;Sadi Carnot murdered;France;45.7635863,4.8356778;French President Sadi Carnot is murdered by an anarchist guy, because that's the new trend at that time.
1899;Felix Faure blown away by best blowjob ever;France;48.8703743,2.3160687;Felix Faure is the first French president to die in the Elysee Palace - after a blowjob too good to be true. Epic.
1569;Mercator releases his map, featuring geographical inaccuracies;Holy Empire;51.434999,6.759562;Gerardus Mercator draws his famous map which is still in use today.
1300;Foundation of Tenochtitlan;Aztec Empire;19.4326296,-99.1331785;"An eagle eats a snake, and, seeing that, Aztecs supposedly say ""Hey, that's a good place to picnic"". It will become their capital."
1328;Charles IV dies;France;48.8474508,2.4396714;The last Capet king dies, purpotedly because the malediction of the last Grand Master of the Knights Templars. 
1571;Battle of Lepanto;Ottoman Empire;38.2,21.3;Against all odds, a bunch of European states (namely Spain, Venice, the Papal States, Genoa, Savoy, and others) band together to defeat the Ottoman Empire.
1589;Counter-Amarda fails miserably;Portugal;39.3566221,-9.3812853;"After ""winning"" against the Spaniards, the English send a fleet to counter-attach. Because of bad weather, the counter-attack also fails. Morality: don't do Armadas."
1545;Potosi mine founded;Peru;-20.666667,-66.666667;The Spaniards create the mine of Potosi, full of silver.
1000;"Leif Erikson ""discovers"" America";Vinland;51.601655,-55.532409;500 years before his bro Christopher Colombus, a Viking discovers America - well, obviously he didn't discover it, there were already people there - he called him the ugly ones (Skraelings), because he's a bitch.
1324;Mansa Musa destroys Cairo's economy;Egypt  ;30.0443879,31.2357257;The King of Mali gives so much money while pilgriming that the value of gold falls.
1879;Zulu victory in Isandhlwana;Zululand;-28.3588889,30.6525;The Zulu defeat the British. Humiliate them, even.
